height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 755
P.y = 16.215197, Pt.y = 0.000000, Q.y = 16.215197, Qt.y = 0.000000, R.y = 16.215197, Rt.y = 0.000000, S.y = 16.215197, St.y = 0.000000
P.y = 16.157587, Pt.y = 0.000000, Q.y = 16.157587, Qt.y = 0.000000, R.y = 16.157587, Rt.y = 0.000000, S.y = 16.157587, St.y = 0.000000
P.y = 16.099543, Pt.y = 0.000000, Q.y = 16.099543, Qt.y = 0.000000, R.y = 16.099543, Rt.y = 0.000000, S.y = 16.099543, St.y = 0.000000
P.y = 16.041063, Pt.y = 0.000000, Q.y = 16.041063, Qt.y = 0.000000, R.y = 16.041063, Rt.y = 0.000000, S.y = 16.041063, St.y = 0.000000
P.y = 15.982148, Pt.y = 0.000000, Q.y = 15.982148, Qt.y = 0.000000, R.y = 15.982148, Rt.y = 0.000000, S.y = 15.982148, St.y = 0.000000
P.y = 15.922799, Pt.y = 0.000000, Q.y = 15.922799, Qt.y = 0.000000, R.y = 15.922799, Rt.y = 0.000000, S.y = 15.922799, St.y = 0.000000
P.y = 15.863015, Pt.y = 0.000000, Q.y = 15.863015, Qt.y = 0.000000, R.y = 15.863015, Rt.y = 0.000000, S.y = 15.863015, St.y = 0.000000
P.y = 15.802796, Pt.y = 0.000000, Q.y = 15.802796, Qt.y = 0.000000, R.y = 15.802796, Rt.y = 0.000000, S.y = 15.802796, St.y = 0.000000
P.y = 15.742141, Pt.y = 0.000000, Q.y = 15.742141, Qt.y = 0.000000, R.y = 15.742141, Rt.y = 0.000000, S.y = 15.742141, St.y = 0.000000
P.y = 15.681050, Pt.y = 0.000000, Q.y = 15.681050, Qt.y = 0.000000, R.y = 15.681050, Rt.y = 0.000000, S.y = 15.681050, St.y = 0.000000
P.y = 15.619525, Pt.y = 0.000000, Q.y = 15.619525, Qt.y = 0.000000, R.y = 15.619525, Rt.y = 0.000000, S.y = 15.619525, St.y = 0.000000
P.y = 15.557565, Pt.y = 0.000000, Q.y = 15.557565, Qt.y = 0.000000, R.y = 15.557565, Rt.y = 0.000000, S.y = 15.557565, St.y = 0.000000
P.y = 15.495170, Pt.y = 0.000000, Q.y = 15.495170, Qt.y = 0.000000, R.y = 15.495170, Rt.y = 0.000000, S.y = 15.495170, St.y = 0.000000
P.y = 15.432340, Pt.y = 0.000000, Q.y = 15.432340, Qt.y = 0.000000, R.y = 15.432340, Rt.y = 0.000000, S.y = 15.432340, St.y = 0.000000
