height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 349
P.y = 17.045261, Pt.y = 0.000000, Q.y = 17.045261, Qt.y = 0.000000, R.y = 17.045261, Rt.y = 0.000000, S.y = 17.045261, St.y = 0.000000
P.y = 16.988342, Pt.y = 0.000000, Q.y = 16.988342, Qt.y = 0.000000, R.y = 16.988342, Rt.y = 0.000000, S.y = 16.988342, St.y = 0.000000
P.y = 16.930880, Pt.y = 0.000000, Q.y = 16.930880, Qt.y = 0.000000, R.y = 16.930880, Rt.y = 0.000000, S.y = 16.930880, St.y = 0.000000
P.y = 16.872875, Pt.y = 0.000000, Q.y = 16.872875, Qt.y = 0.000000, R.y = 16.872875, Rt.y = 0.000000, S.y = 16.872875, St.y = 0.000000
P.y = 16.814327, Pt.y = 0.000000, Q.y = 16.814327, Qt.y = 0.000000, R.y = 16.814327, Rt.y = 0.000000, S.y = 16.814327, St.y = 0.000000
P.y = 16.755236, Pt.y = 0.000000, Q.y = 16.755236, Qt.y = 0.000000, R.y = 16.755236, Rt.y = 0.000000, S.y = 16.755236, St.y = 0.000000
P.y = 16.695601, Pt.y = 0.000000, Q.y = 16.695601, Qt.y = 0.000000, R.y = 16.695601, Rt.y = 0.000000, S.y = 16.695601, St.y = 0.000000
P.y = 16.635424, Pt.y = 0.000000, Q.y = 16.635424, Qt.y = 0.000000, R.y = 16.635424, Rt.y = 0.000000, S.y = 16.635424, St.y = 0.000000
P.y = 16.574703, Pt.y = 0.000000, Q.y = 16.574703, Qt.y = 0.000000, R.y = 16.574703, Rt.y = 0.000000, S.y = 16.574703, St.y = 0.000000
P.y = 16.513439, Pt.y = 0.000000, Q.y = 16.513439, Qt.y = 0.000000, R.y = 16.513439, Rt.y = 0.000000, S.y = 16.513439, St.y = 0.000000
P.y = 16.451633, Pt.y = 0.000000, Q.y = 16.451633, Qt.y = 0.000000, R.y = 16.451633, Rt.y = 0.000000, S.y = 16.451633, St.y = 0.000000
P.y = 16.389284, Pt.y = 0.000000, Q.y = 16.389284, Qt.y = 0.000000, R.y = 16.389284, Rt.y = 0.000000, S.y = 16.389284, St.y = 0.000000
P.y = 16.326391, Pt.y = 0.000000, Q.y = 16.326391, Qt.y = 0.000000, R.y = 16.326391, Rt.y = 0.000000, S.y = 16.326391, St.y = 0.000000
P.y = 16.262957, Pt.y = 0.000000, Q.y = 16.262957, Qt.y = 0.000000, R.y = 16.262957, Rt.y = 0.000000, S.y = 16.262957, St.y = 0.000000
P.y = 16.198978, Pt.y = 0.000000, Q.y = 16.198978, Qt.y = 0.000000, R.y = 16.198978, Rt.y = 0.000000, S.y = 16.198978, St.y = 0.000000
P.y = 16.134457, Pt.y = 0.000000, Q.y = 16.134457, Qt.y = 0.000000, R.y = 16.134457, Rt.y = 0.000000, S.y = 16.134457, St.y = 0.000000
P.y = 16.069391, Pt.y = 0.000000, Q.y = 16.069391, Qt.y = 0.000000, R.y = 16.069391, Rt.y = 0.000000, S.y = 16.069391, St.y = 0.000000
P.y = 16.003784, Pt.y = 0.000000, Q.y = 16.003784, Qt.y = 0.000000, R.y = 16.003784, Rt.y = 0.000000, S.y = 16.003784, St.y = 0.000000
P.y = 15.937633, Pt.y = 0.000000, Q.y = 15.937633, Qt.y = 0.000000, R.y = 15.937633, Rt.y = 0.000000, S.y = 15.937633, St.y = 0.000000
P.y = 15.870938, Pt.y = 0.000000, Q.y = 15.870938, Qt.y = 0.000000, R.y = 15.870938, Rt.y = 0.000000, S.y = 15.870938, St.y = 0.000000
P.y = 15.803702, Pt.y = 0.000000, Q.y = 15.803702, Qt.y = 0.000000, R.y = 15.803702, Rt.y = 0.000000, S.y = 15.803702, St.y = 0.000000
P.y = 15.735923, Pt.y = 0.000000, Q.y = 15.735923, Qt.y = 0.000000, R.y = 15.735923, Rt.y = 0.000000, S.y = 15.735923, St.y = 0.000000
P.y = 15.667600, Pt.y = 0.000000, Q.y = 15.667600, Qt.y = 0.000000, R.y = 15.667600, Rt.y = 0.000000, S.y = 15.667600, St.y = 0.000000
P.y = 15.598735, Pt.y = 0.000000, Q.y = 15.598735, Qt.y = 0.000000, R.y = 15.598735, Rt.y = 0.000000, S.y = 15.598735, St.y = 0.000000
P.y = 15.536815, Pt.y = 0.000000, Q.y = 15.536815, Qt.y = 0.000000, R.y = 15.536815, Rt.y = 0.000000, S.y = 15.536815, St.y = 0.000000
P.y = 15.474463, Pt.y = 0.000000, Q.y = 15.474463, Qt.y = 0.000000, R.y = 15.474463, Rt.y = 0.000000, S.y = 15.474463, St.y = 0.000000
P.y = 15.411679, Pt.y = 0.000000, Q.y = 15.411679, Qt.y = 0.000000, R.y = 15.411679, Rt.y = 0.000000, S.y = 15.411679, St.y = 0.000000
P.y = 15.348462, Pt.y = 0.000000, Q.y = 15.348462, Qt.y = 0.000000, R.y = 15.348462, Rt.y = 0.000000, S.y = 15.348462, St.y = 0.000000
P.y = 15.284812, Pt.y = 0.000000, Q.y = 15.284812, Qt.y = 0.000000, R.y = 15.284812, Rt.y = 0.000000, S.y = 15.284812, St.y = 0.000000
P.y = 15.220731, Pt.y = 0.000000, Q.y = 15.220731, Qt.y = 0.000000, R.y = 15.220731, Rt.y = 0.000000, S.y = 15.220731, St.y = 0.000000
P.y = 15.156217, Pt.y = 0.000000, Q.y = 15.156217, Qt.y = 0.000000, R.y = 15.156217, Rt.y = 0.000000, S.y = 15.156217, St.y = 0.000000
P.y = 15.091269, Pt.y = 0.000000, Q.y = 15.091269, Qt.y = 0.000000, R.y = 15.091269, Rt.y = 0.000000, S.y = 15.091269, St.y = 0.000000
P.y = 15.025890, Pt.y = 0.000000, Q.y = 15.025890, Qt.y = 0.000000, R.y = 15.025890, Rt.y = 0.000000, S.y = 15.025890, St.y = 0.000000
P.y = 14.960078, Pt.y = 0.000000, Q.y = 14.960078, Qt.y = 0.000000, R.y = 14.960078, Rt.y = 0.000000, S.y = 14.960078, St.y = 0.000000
P.y = 14.893834, Pt.y = 0.000000, Q.y = 14.893834, Qt.y = 0.000000, R.y = 14.893834, Rt.y = 0.000000, S.y = 14.893834, St.y = 0.000000
P.y = 14.827157, Pt.y = 0.000000, Q.y = 14.827157, Qt.y = 0.000000, R.y = 14.827157, Rt.y = 0.000000, S.y = 14.827157, St.y = 0.000000
P.y = 14.760047, Pt.y = 0.000000, Q.y = 14.760047, Qt.y = 0.000000, R.y = 14.760047, Rt.y = 0.000000, S.y = 14.760047, St.y = 0.000000
P.y = 14.692505, Pt.y = 0.000000, Q.y = 14.692505, Qt.y = 0.000000, R.y = 14.692505, Rt.y = 0.000000, S.y = 14.692505, St.y = 0.000000
P.y = 14.624530, Pt.y = 0.000000, Q.y = 14.624530, Qt.y = 0.000000, R.y = 14.624530, Rt.y = 0.000000, S.y = 14.624530, St.y = 0.000000
P.y = 14.556123, Pt.y = 0.000000, Q.y = 14.556123, Qt.y = 0.000000, R.y = 14.556123, Rt.y = 0.000000, S.y = 14.556123, St.y = 0.000000
P.y = 14.487283, Pt.y = 0.000000, Q.y = 14.487283, Qt.y = 0.000000, R.y = 14.487283, Rt.y = 0.000000, S.y = 14.487283, St.y = 0.000000
P.y = 14.418011, Pt.y = 0.000000, Q.y = 14.418011, Qt.y = 0.000000, R.y = 14.418011, Rt.y = 0.000000, S.y = 14.418011, St.y = 0.000000
P.y = 14.348306, Pt.y = 0.000000, Q.y = 14.348306, Qt.y = 0.000000, R.y = 14.348306, Rt.y = 0.000000, S.y = 14.348306, St.y = 0.000000
P.y = 14.278169, Pt.y = 0.000000, Q.y = 14.278169, Qt.y = 0.000000, R.y = 14.278169, Rt.y = 0.000000, S.y = 14.278169, St.y = 0.000000
P.y = 14.207599, Pt.y = 0.000000, Q.y = 14.207599, Qt.y = 0.000000, R.y = 14.207599, Rt.y = 0.000000, S.y = 14.207599, St.y = 0.000000
P.y = 14.136597, Pt.y = 0.000000, Q.y = 14.136597, Qt.y = 0.000000, R.y = 14.136597, Rt.y = 0.000000, S.y = 14.136597, St.y = 0.000000
P.y = 14.065162, Pt.y = 0.000000, Q.y = 14.065162, Qt.y = 0.000000, R.y = 14.065162, Rt.y = 0.000000, S.y = 14.065162, St.y = 0.000000
P.y = 13.993295, Pt.y = 0.000000, Q.y = 13.993295, Qt.y = 0.000000, R.y = 13.993295, Rt.y = 0.000000, S.y = 13.993295, St.y = 0.000000
P.y = 13.920995, Pt.y = 0.000000, Q.y = 13.920995, Qt.y = 0.000000, R.y = 13.920995, Rt.y = 0.000000, S.y = 13.920995, St.y = 0.000000
P.y = 13.848263, Pt.y = 0.000000, Q.y = 13.848263, Qt.y = 0.000000, R.y = 13.848263, Rt.y = 0.000000, S.y = 13.848263, St.y = 0.000000
P.y = 13.775098, Pt.y = 0.000000, Q.y = 13.775098, Qt.y = 0.000000, R.y = 13.775098, Rt.y = 0.000000, S.y = 13.775098, St.y = 0.000000
P.y = 13.701500, Pt.y = 0.000000, Q.y = 13.701500, Qt.y = 0.000000, R.y = 13.701500, Rt.y = 0.000000, S.y = 13.701500, St.y = 0.000000
P.y = 13.627470, Pt.y = 0.000000, Q.y = 13.627470, Qt.y = 0.000000, R.y = 13.627470, Rt.y = 0.000000, S.y = 13.627470, St.y = 0.000000
P.y = 13.553007, Pt.y = 0.000000, Q.y = 13.553007, Qt.y = 0.000000, R.y = 13.553007, Rt.y = 0.000000, S.y = 13.553007, St.y = 0.000000
P.y = 13.478112, Pt.y = 0.000000, Q.y = 13.478112, Qt.y = 0.000000, R.y = 13.478112, Rt.y = 0.000000, S.y = 13.478112, St.y = 0.000000
